0x8140,  
0x8141,AB
0x8142,AC
0x8143,AD
0x8144,AE
0x8145,AF
0x8146,AG
0x8147,AH
0x8148,AI
0x8149,AJ
0x814a,
0x814b,AL
0x814c,AM
0x814d,AN
0x814e,AO
0x814f,AP
0x8150,AQ
0x8151,AR
0x8152,AS
0x8153,AT
0x8154,AU
0x8155,AV
0x8156,AW
0x8157,AX
0x8158,AY
0x8159,AZ
0x815a,Aa
0x815b,
0x815c,Ac
0x815d,Ad
0x815e,Ae
0x815f,Af
0x8160,Ag
0x8161,Ah
0x8162,Ai
0x8163,Aj
0x8164,Ak
0x8165,Al
0x8166,Am
0x8167,An
0x8168,Ao
0x8169,Ap
0x816a,Aq
0x816b,Ar
0x816c,As
0x816d,At
0x816e,Au
0x816f,Av
0x8170,Aw
0x8171,Ax
0x8172,Ay
0x8173,Az
0x8174,A、
0x8175,A.
0x8176,A?
0x8177,A!
0x8178,A"
0x8179,A 
0x817a,BA
0x817b,BB
0x817c,BC
0x817d,BD
0x817e,BE
0x817f,BF
0x8180,BG
0x8181,BH
0x8182,BI
0x8183,BJ
0x8184,BK
0x8185,BL
0x8186,BM
0x8187,BN
0x8188,BO
0x8189,BP
0x818a,BQ
0x818b,
0x818c,BS
0x818d,BT
0x818e,BU
0x818f,BV
0x8190,BW
0x8191,BX
0x8192,BY
0x8193,BZ
0x8194,Ba
0x8195,Bb
0x8196,Bc
0x8197,Bd
0x8198,Be
0x8199,Bf
0x819a,Bg
0x819b,Bh
0x819c,Bi
0x819d,Bj
0x819e,Bk
0x819f,Bl
0x81a0,Bm
0x81a1,Bn
0x81a2,Bo
0x81a3,Bp
0x81a4,Bq
0x81a5,Br
0x81a6,Bs
0x81a7,Bt
0x81a8,Bu
0x81a9,Bv
0x81aa,Bw
0x81ab,Bx
0x81ac,By
0x81ad,Bz
0x81ae,B、
0x81af,B.
0x81b0,B?
0x81b1,B!
0x81b2,B"
0x81b3,B 
0x81b4,CA
0x81b5,CB
0x81b6,CC
0x81b7,CD
0x81b8,CE
0x81b9,CF
0x81ba,CG
0x81bb,CH
0x81bc,CI
0x81bd,CJ
0x81be,CK
0x81bf,CL
0x81c0,CM
0x81c1,CN
0x81c2,CO
0x81c3,CP
0x81c4,CQ
0x81c5,CR
0x81c6,CS
0x81c7,CT
0x81c8,CU
0x81c9,CV
0x81ca,CW
0x81cb,CX
0x81cc,CY
0x81cd,CZ
0x81ce,Ca
0x81cf,Cb
0x81d0,Cc
0x81d1,Cd
0x81d2,Ce
0x81d3,Cf
0x81d4,Cg
0x81d5,Ch
0x81d6,Ci
0x81d7,Cj
0x81d8,Ck
0x81d9,Cl
0x81da,Cm
0x81db,Cn
0x81dc,Co
0x81dd,Cp
0x81de,Cq
0x81df,Cr
0x81e0,Cs
0x81e1,Ct
0x81e2,Cu
0x81e3,Cv
0x81e4,Cw
0x81e5,Cx
0x81e6,Cy
0x81e7,Cz
0x81e8,C、
0x81e9,C.
0x81ea,C?
0x81eb,C!
0x81ec,C"
0x81ed,C 
0x81ee,DA
0x81ef,DB
0x81f0,DC
0x81f1,DD
0x824f,#0
0x8250,#1
0x8251,#2
0x8252,#3
0x8253,#4
0x8254,#5
0x8255,#6
0x8256,#7
0x8257,#8
0x8258,#9
0x8259,
0x825a,
0x825b,
0x825c,
0x825d,
0x825e,
0x825f,
0x8260,A
0x8261,B
0x8262,C
0x8263,D
0x8264,E
0x8265,F
0x8266,G
0x8267,H
0x8268,I
0x8269,J
0x826a,K
0x826b,L
0x826c,M
0x826d,N
0x826e,O
0x826f,P
0x8270,Q
0x8271,R
0x8272,S
0x8273,T
0x8274,U
0x8275,V
0x8276,W
0x8277,X
0x8278,Y
0x8279,Z
0x827a,
0x827b,
0x827c,
0x827d,
0x827e,
0x827f,
0x8280,
0x8281,a
0x8282,b
0x8283,b
0x8284,c
0x8285,d
0x8286,e
0x8287,f
0x8288,g
0x8289,h
0x828a,i
0x828b,j
0x828c,k
0x828d,l
0x828e,m
0x828f,n
0x8290,o
0x8291,p
0x8292,q
0x8293,r
0x8294,s
0x8295,t
0x8296,u
0x8297,v
0x8298,w
0x8299,x
0x829a,y
0x829b,z
0x829c,
0x829d,
0x829e,
0x829f,AA
0x82a0,AA
0x82a1,II
0x82a2,II
0x82a3,UU
0x82a4,UU
0x82a5,EE
0x82a6,EE
0x82a7,OO
0x82a8,OO
0x82a9,KA
0x82aa,GA
0x82ab,KI
0x82ac,GI
0x82ad,KU
0x82ae,GU
0x82af,KE
0x82b0,GE
0x82b1,KO
0x82b2,GO
0x82b3,SA
0x82b4,ZA
0x82b5,SH
0x82b6,JI
0x82b7,SU
0x82b8,ZU
0x82b9,SE
0x82ba,ZE
0x82bb,SO
0x82bc,ZO
0x82bd,TA
0x82be,DA
0x82bf,CH
0x82c0,JI
0x82c1,
0x82c2,TS
0x82c3,ZU
0x82c4,TE
0x82c5,DE
0x82c6,TO
0x82c7,DO
0x82c8,NA
0x82c9,NI
0x82ca,NU
0x82cb,NE
0x82cc,NO
0x82cd,HA
0x82ce,BA
